14  0.1
17  0.2
20  0.9
23  3.2
26  9.3
29  12.7
32  29.8
35  41.5
38  72.2
41  57.3
44  118.6
47  367.5
50  562.3
53  447.6
56  538.1
59  967
62  945
65  1026
68  1835
%71  4120
